,text,label
0,Работа на строительных площадках.,3
1,Очистных сооружениях.,3
2,Гнутье арматурной стали на механических станках при количестве отгибов на одном стержне более четырех.,0
3,Сборка и установка сеток и плоских...,0
4,Вязка арматуры.,0
5,"Выполнение работ по гнутью и резке арматурной стали на ручных, электромеханических и электрических станках.",1
6,Выполнение работ по сборке и вязке арматурных сеток и плоских арматурных каркасов.,0
7,Вахта в город Москва.,0
8,Обязанности: - армирование каркаса;,0
9,Требования: - опыт в строительстве приветствуется; - работа в бригаде;,1
10,Условия: - продолжительность вахты 60/30 (продление вахты возможно);,2
11,- Официальное трудоустройство;,0
12,- ЗП в срок и без задержек;,3
13,"- Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа;",3
14,- Питание трехразовое за счет организации;,3
15,- Выдача спецодежды и Сизов без вычета из заработной платы;,3
16,- Организованные отправки до объекта (покупка билетов);,3
17,- Помощь в прохождение медицинского осмотра;,3
18,- Возможность получить квалификационные удостоверения;,3
19,- Карьерный рост до бригадира/мастера;,3
20,Требуется АРМАТУРЩИК на крупнейший завод по производству железобетонных конструкций 3-4 разряда!,0
21,Ставка за смену 3080 руб при графике 6/1 по 11 часов.,3
22,Предоставляем час обеда + перерывы 10-15 мин.,0
23,Обязанности: Вязка арматуры для заливки конструкции железобетонных изделий.,0
24,"Требования: Опыт работы от 1 года , наличие удостоверения (документы должны присутствовать + запись в трудовой книжке).",1
25,Желание работать и зарабатывать Условия:  Работа вахтой от 45/60/90/120 смен;,2
26,- Трудоустройство и заселение в общежитие в день обращения;,0
27,- Бесплатное проживание в комфортном общежитии (постельное бельё предоставляем);,0
28,- Питание 1 раз в день предоставляется на заводе - В общежитии есть кухня и все необходимое для приготовления пищи;,0
29,- Работа в закрытом теплом цехе - Удобный график работы ночь или день;,0
30,"-Вахта от 45 смен, зп на руки 138 600.",0
31,Иногородним предоставляется проживание бесплатное в общежитии  Объект расположен по адресу : гор. Подпорожье Ленинградская область.,0
32,"Рассматриваем кандидатов с опытом работы: арматурщик, строитель, разнорабочий. работа вахтой в Санкт-Петербурге, вакансия вахта, вахтовый метод, вахта прямой работодатель, работа вахтой без опыта, работа с проживанием прямой работодатель, работа вакансии, работа вахтой вакансии, разнорабочий, рабочий, сборщик, подсобный рабочий, работник завода,работа в москве и подмосковье вахтой.формовщик",0
33,Почепта Дальневосточной железной дороги  Мост 1222. армирование каркаса  Обязанности:  - Строительство Ж/Д путей; - бетонирование опор.,0
34,Требования: -опыт в строительстве приветствуется -работа в бригаде  Условия: - продолжительность вахты 60/30 (продление вахты возможно) - Официальное трудоустройство.,1
35,"- ЗП в срок и без задержек - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа - Питание трехразовое за счет организации - выдача спецодежды и Сизов без вычета из заработной платы - Организованные отправки до объекта (покупка билетов) - Помощь в прохождение медицинского осмотра - Возможность получить квалификационные удостоверения - Карьерный рост до бригадира/мастера",0
36,Вахта в город Москва.,0
37,Обязанности: - армирование каркаса;,0
38,Требования: - опыт в строительстве приветствуется; - работа в бригаде;,1
39,Условия: - продолжительность вахты 60/30 (продление вахты возможно);,2
40,- Официальное трудоустройство;,0
41,- ЗП в срок и без задержек;,3
42,"- Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа;",3
43,- Питание трехразовое за счет организации;,3
44,- Выдача спецодежды и Сизов без вычета из заработной платы;,3
45,- Организованные отправки до объекта (покупка билетов);,3
46,- Помощь в прохождение медицинского осмотра;,3
47,- Возможность получить квалификационные удостоверения;,3
48,- Карьерный рост до бригадира/мастера;,3
49,Подготовка участка к укладке дорожного покрытия.,0
50,Проведение вспомогательных работ в процессе строительства и ремонта дорожных покрытий.,0
51,Осуществление мелкого ремонта дорожного...,0
52,Приготовление асфальтовых смесей на передвижных установках.,0
53,"Все виды работ с бетоном, асфальтом, бордюрами, поребриками, эмульсией.",0
54,Подготовка дорожного основания под асфальтирование.,0
55,Бетонирование бетонных и железобетонных монолитных конструкций.,0
56,Земляные работы под устройство фундамента.,0
57,Устройство опалубки.,0
58,Армирование.,0
59,Демонтажные работы.,0
