,responsibilities(Должностные обязанности),requirements(Требования к соискателю),terms(Условия),notes(Примечания)
0,Работа на строительных площадках. Очистных сооружениях.,,,Работа на строительных площадках. Очистных сооружениях.
1,Гнутье арматурной стали на механических станках при количестве отгибов на одном стержне более четырех. Сборка и установка сеток и плоских...,,,
2,Вязка арматуры.,,,
3,"Выполнение работ по гнутью и резке арматурной стали на ручных, электромеханических и электрических станках. Выполнение работ по сборке и вязке арматурных сеток и плоских арматурных каркасов.","Выполнение работ по гнутью и резке арматурной стали на ручных, электромеханических и электрических станках.",,
4,"Вахта в город Москва.  Обязанности: - армирование каркаса;  Требования: - опыт в строительстве приветствуется; - работа в бригаде;  Условия: - продолжительность вахты 60/30 (продление вахты возможно); - Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;",Требования: - опыт в строительстве приветствуется; - работа в бригаде;,Условия: - продолжительность вахты 60/30 (продление вахты возможно); - Официальное трудоустройство;,"- ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;"
5,"Требуется АРМАТУРЩИК на крупнейший завод по производству железобетонных конструкций 3-4 разряда!  Ставка за смену 3080 руб при графике 6/1 по 11 часов.  Предоставляем час обеда + перерывы 10-15 мин. Обязанности: Вязка арматуры для заливки конструкции железобетонных изделий.  Требования: Опыт работы от 1 года , наличие удостоверения (документы должны присутствовать + запись в трудовой книжке). Желание работать и зарабатывать Условия:  Работа вахтой от 45/60/90/120 смен; - Трудоустройство и заселение в общежитие в день обращения; - Бесплатное проживание в комфортном общежитии (постельное бельё предоставляем);  - Питание 1 раз в день предоставляется на заводе - В общежитии есть кухня и все необходимое для приготовления пищи; - Работа в закрытом теплом цехе - Удобный график работы ночь или день; -Вахта от 45 смен, зп на руки 138 600. Иногородним предоставляется проживание бесплатное в общежитии  Объект расположен по адресу : гор. Подпорожье Ленинградская область.  Рассматриваем кандидатов с опытом работы: арматурщик, строитель, разнорабочий. работа вахтой в Санкт-Петербурге, вакансия вахта, вахтовый метод, вахта прямой работодатель, работа вахтой без опыта, работа с проживанием прямой работодатель, работа вакансии, работа вахтой вакансии, разнорабочий, рабочий, сборщик, подсобный рабочий, работник завода,работа в москве и подмосковье вахтой.формовщик","Требования: Опыт работы от 1 года , наличие удостоверения (документы должны присутствовать + запись в трудовой книжке).",Желание работать и зарабатывать Условия:  Работа вахтой от 45/60/90/120 смен;,Ставка за смену 3080 руб при графике 6/1 по 11 часов.
6,"Почепта Дальневосточной железной дороги  Мост 1222. армирование каркаса  Обязанности:  - Строительство Ж/Д путей; - бетонирование опор.  Требования: -опыт в строительстве приветствуется -работа в бригаде  Условия: - продолжительность вахты 60/30 (продление вахты возможно) - Официальное трудоустройство. - ЗП в срок и без задержек - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа - Питание трехразовое за счет организации - выдача спецодежды и Сизов без вычета из заработной платы - Организованные отправки до объекта (покупка билетов) - Помощь в прохождение медицинского осмотра - Возможность получить квалификационные удостоверения - Карьерный рост до бригадира/мастера",Требования: -опыт в строительстве приветствуется -работа в бригаде  Условия: - продолжительность вахты 60/30 (продление вахты возможно) - Официальное трудоустройство.,,
7,"Вахта в город Москва.  Обязанности: - армирование каркаса;  Требования: - опыт в строительстве приветствуется; - работа в бригаде;  Условия: - продолжительность вахты 60/30 (продление вахты возможно); - Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;",Требования: - опыт в строительстве приветствуется; - работа в бригаде;,Условия: - продолжительность вахты 60/30 (продление вахты возможно); - Официальное трудоустройство;,"- ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;"
8,Подготовка участка к укладке дорожного покрытия. Проведение вспомогательных работ в процессе строительства и ремонта дорожных покрытий. Осуществление мелкого ремонта дорожного...,,,
9,"Приготовление асфальтовых смесей на передвижных установках. Все виды работ с бетоном, асфальтом, бордюрами, поребриками, эмульсией. Подготовка дорожного основания под асфальтирование. ",,,
10,Бетонирование бетонных и железобетонных монолитных конструкций. Земляные работы под устройство фундамента. Устройство опалубки. Армирование. Демонтажные работы.,,,
11,"Крупной Федеральной Компании для работы ВАХТОВЫМ МЕТОДОМ на строительные участки требуются специалисты:  Обязанности:  · Работы на монолите (заливка бетона, укладка и вязка арматуры)  · Монтажные работы (МК/ЖБК)  · Общестроительные работы и вспомогательные работы  Требования:  · Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка)  Условия:  · Продолжительность вахты 60/30, 90/30 (можно больше)  · Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)  · Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре)","Крупной Федеральной Компании для работы ВАХТОВЫМ МЕТОДОМ на строительные участки требуются специалисты:  Обязанности:  · Работы на монолите (заливка бетона, укладка и вязка арматуры)  · Монтажные работы (МК/ЖБК)  · Общестроительные работы и вспомогательные работы  Требования:  · Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка)  Условия:  · Продолжительность вахты 60/30, 90/30 (можно больше)  · Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)",,· Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре)
12,"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.  ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;  - Монтаж опалубки.  Требования:  - Соблюдение трудовой и бытовой дисциплины;  Условия:  - ВАХТА! 60/30;  - График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК. Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;  - Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты",,60/30;,"Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;"
